Unnamed: 0,Melodi,Komponist,Levde når,Lyrikk,Levde når.1,Når komponert,Diverse,Diverse.1,Dublett?,Forlag,Nr.,Unnamed: 12
,Sossidi-valsen,"Normann, Ralph",,"Bø, Finn",1893 - 1962,,,,,,,
,Valse Amourette,"Nygård, Oddvar",1919 - 1985,,,1943,Reklame for Concordia Canning Company.,,,,,
,CCC Marsch,"Næss, Erling",1885 - 1957,,,1913,Omtale,,,Carl M. Iversen,148,
,Når rosene blomstrer i mormors hage,"Ofstad, Kolbjørn",1917 - 1996,"Ofstad, Kolbjørn",1917 - 1996,1943,Omtale,,2,Carl M. Iversen,149,
,Når byens lys blir tendt,"Ofstad, Kolbjørn",1917 - 1996,"Hansen, Juul",1913 - 1981,1943,,,,Carl M. Iversen,208,
,Der midnattsolen flommer,"Ofstad, Kolbjørn",1917 - 1996,"Hansen, Juul",1913 - 1981,1945?,,,,,,
,En liten lykkering,"Ofstad, Kolbjørn",1917 - 1996,"Hansen, Juul",1913 - 1981,,,,,,,
,Gatesangeren,"Ofstad, Kolbjørn",1917 - 1996,John Elin,,,,,,,,
,Katja,"Ofstad, Kolbjørn",1917 - 1996,John Elin,,,,,,Harald Henschien,,
,Skjønn er Hawaii,"Ofstad, Kolbjørn",1917 - 1996,John Elin,,1942,,,,,,
,Kom ombord här på arken till oss,"Olrog, Ulf Peder",1919 - 1972,"Olrog, Ulf Peder",1919 - 1972,1947,1ste premie schlagerkonkuransen,,,,,
,Så seile vi på Mjøsa,"Olrog, Ulf Peder",1919 - 1972,"Prøysen, Alf",1914 - 1970,1945,,,,Musikk-huset,2002,
,Vær hos mig,"Olsen, Bernt",,Frithjof Granli,1905 - 1965,1945,,,,,,
,För det gjorde Mamma när Mamma var flicka,"Olson, Elis (Elis Ellis)",1879 - 1956,"Olson, Elis (Elis Ellis)",1879 - 1956,1907,Omtale,,,,,
,Gärdebylåten,"Olsson, Hjort Anders",1865 - 1952,,,1950,,,,Musikk-huset A/S,354,
,På lördagsball,"Olsson, Valter",1894 - 1951,,,1934,,,,,,
,Jeg vet om en pike med øyne blå,"Opsahl-Andersen,R.",,"Torleif Larssen (""Tola"")",1899 - 1967,,,,,Bartnes forlag,8,
,Mitt hjertes dronning,"Orvan, Leif Gunnar",1900 - 1956,"Rosenlind, Olaf",1908 - 1990,1935,Omtale,,,Musikk-Centrum,,
,Nidelven,Oscar Hoddø & Christian Christensen,,Oscar Hoddø & Christian Christensen,,1940,,,,Ernst Rolf,46,
,Curling,"Paban, Frei",,,,1916,,,,,,
,Gaasunger,"Pande,Ingrid",1893 - 1962,Rolf Pande,1882 - 1945,1915,Bardomshjemmet,,2,,,
,Fjorden der hjemme,Paul Dresser,1857 - 1906,Magnus Brostrup Landstad,1876 - 1956,1897,,,,,,
,Hør lille pike,"Paul, Alf",1914 - 1993,"Hansen, Juul",1913 - 1981,1941,,,,Norske Noter,1,
,Gråt ikke jenta mi,"Peaters, Alf",1901 - 1951,Carl Kaas,,1929,,,,Kjell Koren,37,
x,On the shore of Hawaii,"Peaters, Alf",1901 - 1951,,,<1924,,,,Ernst Rolfs Musikforlag,333,
,När ljusen släcktes,"Peaters, Alf",1901 - 1951,S. S. Wilson (Anita Halldén),1878 - 1970,1924,,,,Ernst Rolfs Musikförlag,408,
,En för alla och alla för en,"Peaters, Alf",1901 - 1951,"Carlberg, Berndt (Berco)",1892 - 1976,1924,"Opus 219, Reklame for Mowinckles margarinfabrik",,4,,,
,Bare sol,"Peaters, Alf",1901 - 1951,Cato Blom,1895 - 1949,1930,,,,,,
,China Town,"Peaters, Alf",1901 - 1951,S. S. Wilson (Anita Halldén),1878 - 1970,1925,Alf Peaters egen håndskrevne note,,,,,
,Evig ungdom,"Peaters, Alf",1901 - 1951,?,,1930,,,,,,
,Gullebarn,"Peaters, Alf",1901 - 1951,S. S. Wilson (Anita Halldén),1878 - 1970,1929,,,,,,
,På Hankø,"Peaters, Alf",1901 - 1951,Carl Kaas,,,A-magasinet 9. mars 1935,,,,,
,Sangen om dig,"Peaters, Alf",1901 - 1951,Alf Røed,1894 - 1969,1935,,,,,,
,Ta mig i din favn og dans,"Peaters, Alf",1901 - 1951,"Kaas, Carl",,1928,,,,Norsk Musikforlag,6335,
,Vi vil seile livet sammen,"Peaters, Alf",1901 - 1951,Carl Kaas,,1929,,,,,,
,Zo Zo,"Peaters, Alf",1901 - 1951,,,1921,,,,,,
,My little Sweetheart,"Pedersen, Albert Edvin",1906 - 1965(?),Per Kvist,1890 - 1947,1929,( f. Harriet Weidemann Strøm),,,,,
,En vårmelodi,"Pedersen, Bernhard",,Harriet Weidemann Ørn,1886 - 1954,,,,,,,
,Ballangrud,"Pedersen, Kaare Ingemann (Viksveen) ",1905 - 1956,Einar Fagstad,1899 - 1961,1929,,,,,,
x,I det gamle kvarter,"Pedersen, Kaare Ingemann (Viksveen) ",1905 - 1956,Hermann Hermani,1898 - 1960,1941,,,,,,
,I morgenrødens skjær,"Pedersen, Kaare Ingemann (Viksveen) ",1905 - 1956,Jens Book Jenssen,1910 - 1999,1937,2den premie Rytmes Slagerkonkurranse 1942,,,Harald Henschien,,
,Kjærlighetsstien,"Pedersen, Kaare Ingemann (Viksveen) ",1905 - 1956,Arne Paasche Aasen,1901 - 1978,1942,,,,Norsk Musikforlag,7215,
,Skib O'Hoi valsen,"Pedersen, Kaare Ingemann (Viksveen) ",1905 - 1956,"Fredhöi, Fred A.",1890 - 1979,1932,,,,Fredhöis Forlag,,
,Svundne netter,"Pedersen, Kaare Ingemann (Viksveen) ",1905 - 1956,Einar Fagstad,1899 - 1961,1938,Tilbud fra Norsk Schlager Forlag,,,,,
,Syng denne melodien,"Pedersen, Kaare Ingemann (Viksveen) ",1905 - 1956,Jens Book Jenssen,1910 - 1999,1944?,,,,Ernst Rolf,261,
,Som'rens melodi er som poesi,Per Reidarson,1879 - 1954,Mogens Dam,1897 - 1979,1922,Mangler et noteark.,,,Germania forlag,2,
,Kalfatrus,"Petersen, Alf (Alf Peaters)",1901 - 1951,,,194?,,,,Kjell Koren,12,
,Lille Doll,"Petersen, Alf (Alf Peaters)",1901 - 1951,Einar J.,,1920,,,,Eget forlag,,
,Valsen til mor,"Petersen, Emil",1901 - 1989,"Petersen, Emil",1901 - 1989,1947,,,,,,
x,En liten pige i lave sko,"Pheiffer, Knud",1909 - 1961,"Pheiffer, Knud",1909 - 1961,1953,,,,Norsk Notestik og Forlag,240,
,Lille Johanne,Pierre Bussé,,Per Kvist,1890 - 1947,,Norsk tekst Arne Bendiksen,,,Carl M. Iversen,,
,True Love,"Porter, Cole",1891 - 1964,"Porter, Cole",1891 - 1964,1955,,,,Edition Hermani,190,
,Lille Solgull,"Påhlman, Otto",1919 - 2003,"Påhlman, Otto",1919 - 2003,1945,A-magasinet september,,,,,
,Valse Noble,"Qvigstad, Elisabeth",1902 - 1909,,,1934,2. premie Norsk Musikforlag og A-magasinets sommerkonkurranse,,,Norsk Musikforlag,6931,
,Det dufter av jasminer,"Ramsøy, Leif",1914 - 1999,Herbert Herding-Herberth,1904 - 1958,1936,,,,Oscar Skau,225,
,Julesang,"Rian, Christian",1886 - 1977,Fredrik von der Lippe,1904 - 1976,1945,,,,"Hoffmanns Musikhandel, Trondhjem",3,
,For første gang,"Rian, Christian (Chr. Molière)",1886 - 1977,Magnus Brostrup Landstad,1876 - 1956,1918,,,,Haakonsens musikhandel,3,
x,Naughty Girl,"Rian, Christian (Chr. Molière)",1886 - 1977,,,1918,,,,,,
,Jeg er pen i klær'ne,Ricardo,,Ricardo,,192x,Reklame for Wilhelm Kahrs i Bergen,,,Ernst Rolf,426,
,En sang fra Mexico,Ricardo Lamarr (Phil Guide?),,"Hansen, Juul",1913 - 1981,1944,,,,,,
,Seminola,"Robert King
Harry Warren","1862 - 1932
1893 - 1981",S. S. Wilson (Anita Halldén),1878 - 1970,1925,,,,Ernst Rolf,247,
,Følg mig tilbake,Rolf Chr. Bye,,"Hansen, Juul",1913 - 1981,1945,,,,Ernst Rolfs Musikforlag,1793,
,I en söt liten stuga,"Rolf, Ernst",1891 - 1932,S. S. Wilson (Anita Halldén),1878 - 1970,1921,,,,Ernst Rolfs Musikforlag,23,
,Nya Norrlandsvalsen,"Rolf, Ernst",1891 - 1932,Ernst Rolf,1891 - 1932,1929,,,,Svenska Noter,122,
,Sjömanskärlek,"Rolf, Ernst",1891 - 1932,"Åkerblom, Ragnar",1877 - 1932,ca 1916,,,,,,
,Min blå lagun,"Rolland, Ernest",,"Sandberg, Sven-Olof",1905 - 1974,1930,,,,,,
,Hils alle guttene derute,"Roundquist, Helge",1907 - 1983,Dorian Red (Arne Paasche Aasen),1901 - 1978,,,,,,,
,Et lite streif av sol ,"Rudolf, J.",,Bjørn Carlsen,,,,,2,,,
,Ved min barndoms grind,"Rudolf, J.",,R. T.,,,,,,,,
,Vintermåne,"Rudolf, J.",,Bjørn Carlsen,,1935?,Fra filmen med samme navn,,,,,
x,Piken i dalen,Rune Edwin,1927 - 2010,Stig Lange,,1929,,,,Carl M. Iversen,1001,
,Sol över Klara,"Runö, Sven",1901 - 1960,Nils-Georg (Georg Eliasson),1905 - 1973,,,,,Ernst Rolf,264,
,Når bålene flammer,"Ryan, Magne",1910 - 2001,,,1937,,,,Nils Georgs Musikførlag,507,
,Haremsprinsessan,"Rygaard, Georg",1894 - 1921,Claus Frimann Clasen (Lyktemannen),1894 - 1970,1920,,,,Musikk-huset,1677,
,To smaa fugler,"Røtter, Henry",1908 - 1989,David Hagbart Bjerke Davidsen,1901 - 1979,1929,Svensk tekst/utgivelse,,,,,
,Den vakre visa,"Sandbeck,Vidar",1918 - 2005,"Sandbeck,Vidar",1918 - 2005,1959,,,,,,
,Pengegaloppen,"Sandbeck,Vidar",1918 - 2005,Olrog-Norlèn,1918 - 2005,1959,"Norsk tekst T. Larssen (""Tola"")",,,Norks Musikforlag,6944,
,Der det suser i millange skogen,"Sandberg, Gunnel",1909 - 1951,"Sandberg, Sven-Olof",1905 - 1974,1936,,,,,,
,Gjennom skogenes mektige sus,"Sandberg, Gunnel",1909 - 1951,"Holm, Gunnar",,,,,,,,
,Alle vakre jenters hambo,"Saus, Anders",1919 - 2003,Anders Saus,1919 - 2003,1955,3. premie Rytmes Schlagerkonkurranse 1942,,,Norsk Musikforlag,6933,
,Skjønne Sorina,"Scharff, Jakob",1908 - 1942,Arne Paasche Aasen,1901 - 1978,1942,,,,Carl M. Iversen,361,
,Walter Andreas,"Schau, Just",1903 - 1956,Herbert Herding-Herberth,1904 - 1958,1936,Omtale,,,,,
x,Midnattsolens land,"Schikora, Willy",1923 - 2004,"Schikora, Willy",1923 - 2004,1955,2den premie slagerkonkurransen 1931,,,,,
,La oss leve livet,"Schjørn, Christian",1911 - 1971,Per Kvist,1890 - 1947,1931,,,,Norsk Musikforlag,4276,
,Oslofjord,"Schjørn, Christian",1911 - 1971,Christian Schjørn,1911 - 1971,,"Fra filmen ""Det ække til å tru"" - 1942",,,Musik-huset,345,
,Vær glad for det lille du har,"Schjørn, Christian
Mackenzie, Laurie","1911 - 1971
1902 - 1962",Arild Feldborg,1912 - 1987,1942,Ref. Bergens Tidende 25. mai 1943,,,,,
,Med musikk og humør,"Selmer, Arol",1913 - 1990,Gunnar Holm,,1943,,,,,,
,Santa Rosa,"Selmer, Arol",1913 - 1990,Gunnar Holm,,,,,,Norsk Musikforlag,6432,
,Lugn vilar sjön,"Shapiro, Ted",1899 - 1980,Karl-Gerhard,1891 - 1964,1930,,,,"Mørks Musikforlag, Kjøbenhavn",2012,
,Når syrenene blomstrer,"Shilkret, Nathaniel",1889  - 1982,"Birknes, Tønnes",1871 - 1956,1928,,,,Norsk Musikforlag,7233,
,Hele ugen alene,"Schuman, Earl
Schuman,Alden
Brown Marshall",,"Linz, Børge",,1953,,,,Musikkhuset,318,
,Mitt hjerte forblir her i Norge,"Siem, Kåre",1914 - 1986,Herbert Herding-Herberth,1904 - 1958,1940,,,,Musikkhuset,343,
,Det går en sang,"Siem, Kåre",1914 - 1986,Herbert Herding-Herberth,1904 - 1958,1941,,,,"Norsk Notesik & Forlag, Oslo.",,
,Det kommer en dag,"Siem, Kåre",1914 - 1986,?,,1943,,,,Carl M. Iversen,179,
,Wallys Fox,"Skaugen, Åse",,Carl Frode,,,,,3,,,
,De skogkledte fjell,"Skilbred, Henry",1905 - 1988,Henry Skilbred,1905 - 1988,1943,,,3,A/S Musikk's Forlag Haugesund,,
,Avskjedstoner,"Skilbred, Henry",1905 - 1988,Henry Skilbred,1905 - 1988,1934,Omtale,,,Eget forlag,,
,Sigøynerfiolinen,"Skilbred, Henry",1905 - 1988,Henry Skilbred,1905 - 1988,1943,,,,,,
,Vi vil eie dette landet,"Skilbred, Henry",1905 - 1988,Henry Skilbred,1905 - 1988,1945,,,,,,
,"Du, skal vi ikke blende månen","Solberg, Carl",,"Torleif Larssen (""Tola"")",1899 - 1967,,,,,,,
,Jeg har en liten jeep,"Solberg, Carl",,"Torleif Larssen (""Tola"")",1899 - 1967,1945,,,,,,
x,Carissima,"Spiazzi, Umberto",1886 - 1975,S. S. Wilson (Anita Halldén),1878 - 1970,1927,,,,,,
,Klockbojen,"Spiazzi, Umberto",1886 - 1975,Fritz Gustav,1895 - 1974,,ca 1942,,,,,
,Når det grønnes i li,"Steen, H.",,"Hansen, Juul",1913 - 1981,,,,,,,
,Stormklonken,"Steen, H.",,"Hansen, Juul",1913 - 1981,1928,,,,,,
,Tomtens Skurepulver-vals,Sten Bergkvist,,,,1941,Komponisten var fiskehandler i Bergen 1945,,,,,
,Strø noen roser!,Sten Ludvig Eugen Helin (Helan),,Karl-Ewert Christenson,1888 - 1965,1915,,,,"Elkan & Schildknecht, Emil Carelius, Stockholm",1067,
,Hør sommervindens sus,"Stenestø, Haakon",1898 - 1984,"Stenestø, Haakon",1898 - 1984,1941,,,,Harald Lyche,240,
,Sista resan,"Stjernquist, Gustav",,Arne Pärson,1906 - 1982,1941,,,,,,
,Bara du och jag,"Stoor, Yngve",1912 - 1985,Martin Nilsson,1890 - 1963,1946,,,2,,,
,Hawaii-Hälsning,"Stoor, Yngve",1912 - 1985,M. Torres (Helge Roundquist),1907 - 1983,,,,,,,
,Sjømannsjul på Hawaii,"Stoor, Yngve",1912 - 1985,"Hansen, Juul",1913 - 1981,1945,,,,,,
,Minnenes melodi,"Stordahl, Erling",1923 - 1994,Erling Stordahl,1923 - 1994,1952,,,,,,
,Vesle-Per,"Stordahl, Erling",1923 - 1994,Erling Stordahl,1923 - 1994,,,,,Edition Sylvain,25,
,Gudskjelovkvellen,"Sundquist, Ragnar",1892 - 1951,Bias Bernhoft,1902 - 1986,1930,,,,,,
,När lindarna blomma,Sune Sundberg,1904 - 1988,"Sandberg, Sven-Olof",1905 - 1974,1928,Komponist-pseudonym for Frederic Sandström,,,,,
,Drøm,Svein Berg Kveim,1906 -  1976,"Hansen, Juul",1913 - 1981,,Fra siste del av 1940 tallet,,,,,
x,Där näckrosen blommar,Sven du Rietz,1877 - 1952,"Sandberg, Sven-Olof",1905 - 1974,1928,,,2,Musikcentralen,168,
,Trondhjems-valsen,"Svendsen, Faste",1900 - 1980,"Svendsen, Faste",1900 - 1980,,,,,Norsk Musikforlag,7236,
,Tango des Etoiles,"Svendsen, Kolbjørn",1903 - 1967,Henry Armand ,,1927,,,,Norsk Musikforlag,7237,
,Drøm om Hawaii,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,Ca 1940,,,,Norsk Musikforlag,7241,
,Min hulapike,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,1941,,,,,,
,Dage blir år,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,,"Melodi ""Eg gjette Tulla""",,,,,
,Bryllupsgaverne,"Svendsen, Kolbjørn",1903 - 1967,Arne Svendsen,1884 - 1958,1929,,,,,,
,Dagligliv på Skaugum,"Svendsen, Kolbjørn",1903 - 1967,Arne Svendsen,1884 - 1958,1929,,,,,,
,De tusen sjøers land,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,1940,(Pål sine høner),,,,,
,En melodi til deg,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,,"Fra revyen ""Ikke mas - alle Faar""",,,,,
,Favoritindens sang,"Svendsen, Kolbjørn",1903 - 1967,"Kvist, Per",1890 - 1947,1925,,,,Norsk Musikforlag,7193,
,Festforestillingen,"Svendsen, Kolbjørn",1903 - 1967,Arne Svendsen,1884 - 1958,1929,,,,,,
,Fred på jord / Som den første jul,"Svendsen, Kolbjørn",1903 - 1967,"Svendsen, Kolbjørn",1903 - 1967,1940,,,,,,
,Har du sorg i ditt hjerte Rosalia,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,,,,,,,
,Jeg har alltid en venn i gitaren,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,1943,,,,,,
,Jeg lever kun for deg,"Svendsen, Kolbjørn",1903 - 1967,Arvid Arwall,,1944?,"Fra revyen ""Ikke mas - alle Faar""",,,Eget forlag,,
,Jordmorvise,"Svendsen, Kolbjørn",1903 - 1967,"Kvist, Per",1890 - 1947,1925,,,,Carl M. Iversen,156,
,La det sne,"Svendsen, Kolbjørn",1903 - 1967,Arne Svendsen,1884 - 1958,,MargarinCentralen,,3,,,
,Pikenes Jens,"Svendsen, Kolbjørn",1903 - 1967,"Svendsen, Kolbjørn",1903 - 1967,1942,,,,Norsk Musikforlag,6897,
,MC-valsen,"Svendsen, Kolbjørn",1903 - 1967,Arne Svendsen,1884 - 1958,,,,,Carl M. Iversen,,
x,Nå kommer våren igjen,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,1934,1 Premie i Rytmes Slagerkonkurase 1942,,2,Harald Henschiens,,
,Når skogen sover,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,,,,,,,
,Over blånende fjell,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,,På plate allerede 1940.,,,,,
,To må man være,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,,Reklame for Nidar sjokolade,,,,,
,Under måneskinnslampen,"Svendsen, Kolbjørn",1903 - 1967,Kolbjørn Svendsen,1903 - 1967,1942,,,,Carl M. Iversen,239,
,Nidar,"Svendsen, Morten",1877 - 1952,,,1919,,,,,,
,Bella-Donna,Sverre Mikkelsen,,Sverre Mikkelsen,,1947?,,,,,,
,Beate-Christine,"Sylvain, Jules",1900 - 1968,Dix Denni,,,,,,Norsk Musikforlag,6445,
,Bland Kobbar og Skär,"Sylvain, Jules",1900 - 1968,Jokern,,,,,,,,
,Dansen går,"Sylvain, Jules",1900 - 1968,Herbert Herding-Herberth,1904 - 1958,1928,,,,Ernst Rolf,1606,
,De' gör gumman me',"Sylvain, Jules",1900 - 1968,Herr Dardanell (Torg Bergström),,1927,,,,,,
,"Det är den stora, stora kärleken","Sylvain, Jules",1900 - 1968,Gösta Stevens,1897 - 1964,1938,,,,,,
,"Det är ingen idé i da', Ida","Sylvain, Jules (Einar Björke)",1900 - 1968,Gösta Stevens,1897 - 1964,1930,"Fra filmen ""Kronans kavaljerer""",,,Svenska Noter,17,
,En hvit chrysantheme,"Sylvain, Jules",1900 - 1968,Rolf Hiorth Schøyen,1887 - 1932,1929,,,,Edition Sylvain,477,
,En natt i hamn,"Sylvain, Jules",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1929,,,,Edition Sylvain,8,
,Ett  litet eget hem,"Sylvain, Jules",1900 - 1968,Sven Paddock,1909 - 1982,1935,"Fra filmen ""För hennes skull""",,2,,,
,Flyver-valsen,"Sylvain, Jules
Winter, Fred","1900 - 1968
1892 - 1945",Herbert Herding-Herberth,1904 - 1958,1927,,,,Edition Sylvain,23,
,Før hennes skull,"Sylvain, Jules",1900 - 1968,Gösta Stevens,1897 - 1964,1930,,,,,,
,Hembygdsminnen,"Sylvain, Jules (Sigurd Hannel)",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1928,"Fra S/F filmen ""Lärarinna på vift""",,,,,
,Höstserenad,"Sylvain, Jules",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1928,,,,Ernst Rolf,386,
,Jag är inne när gumman min är inne,"Sylvain, Jules",1900 - 1968,,,1926,,,,Edition Sylvain,66,
,Kärlekens ABC,"Sylvain, Jules",1900 - 1968,Åke Søderblom-( Sven Paddock),1910 - 1965,1941,"Fra filmen ""Med hundra dragspel och en flicka""",,,Edition Sylvain,2711,
,Med dej kom våren åter till mej,"Sylvain, Jules",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1928,"Fra filmen ""Anna Lans""",,,Edition Sylvain,2540,
,Med hundra dragspel och en flicka,"Sylvain, Jules",1900 - 1968,Fritz Gustav,1895 - 1974,1945,,,,Edition Sylvain,191,
,Min längtans melodi,"Sylvain, Jules",1900 - 1968,"Sandberg, Sven-Olof",1905 - 1974,1943,"Fra filmen ""Kära släkten""",,,Edition Sylvain,416,
,När en stjärna från himlen faller,"Sylvain, Jules",1900 - 1968,S. S. Wilson (Anita Halldén),1878 - 1970,1930,,,,Norsk Notestik og forlag,250,
,När tvenne hjärtan slå samma slag,"Sylvain, Jules",1900 - 1968,Gösta Stevens,1897 - 1964,1933,,,,Svenska Noter,83,
