Unnamed: 0,Tittel,Unnamed: 2,Unnamed: 3,Komponist,Unnamed: 5,Unnamed: 6,Tekstforfatter,Unnamed: 8,Unnamed: 9,Dubletter
,Aften på Erdal,Rheinlender,D,Per Bolstad,1875 - 1967,,,,,
x,All the things you are,,,,,,,,,
x,Alle gaar rundt,,,Kai Normann Andersen,1900 - 1967,,Børge Muller,,,
,Alle vakre jenters hambo,Hambo,G,Andres Saus,1919 - 2003,,,,,
x,As years go by,,,,,,,,,
x,Begin the beguine,,C,Cole Porter,1891 - 1964,,,,,
,Besame Mucho,,Am,Consuelo Velázquez,1916 - 2005,,,,,
,Blueberry Hill,,Eb,Vincent Rose,1880 - 1944,,,,,
,Bluesette,,Bb,Toots Thielemans,1922- 2016,,,,,
x,Blue Goose,,,,,,,,,
x,Brudemarsj fra Osterdalen,,,,,,,,,
,Bröllops-Valsen,Vals,D,David Hellström,1883 - 1965,,Gösta Svenning,1870 - 1953,,
x,C'est si Bon,,,Henri Betti,1917 - 2005,,André Hornez,1905 - 1989,,
,Cielito lindo,Trad,G,Quirino Mendoza y Cortés,1862 - 1957,,,,,
,Dans på Tuftehaugen,Rheinlender,C,Peder Gulmoen,1911 - 1982,,,,,
x,Dansen på Sunnanö,,,,,,,,,
x,Deirdres samba,Samba,,Chico Buarque de Hollanda,,,Cornelius Vreeswijk,1939 - 1987,,
x,Den blomstertid nu kommer,,,,,,,,,
,Den tredje mann,Slow,C,Anto Karas,1907 - 1985,,,,,
,Den ubemerkte Sørensens vals,Vals,D,Anders Sørensen,1821 - 1896,,,,,
x,Det lysnet i skogen,,,,,,,,,
,Don't sit under the Apple Tree,Swing,F,Sam Stept,1897 - 1964,,,,,
x,Drømmen hinnes Gunhild,,,,,,,,,
x,Du svarte sigøyner,Tango,Em/G,Karel Vacek,1902 - 1982,,,,1931,
,Ei snerten snelle,,,Vidar Sandbeck,,,,,,
,En aften paa Mork,Vals,G/C,Per Bolstad,1875 - 1967,,,,,
x,Elisabeth Serenade,,,,,,,,,
x,Ellinor dansar,Vals,C,Evert Taube,1890 - 1976,,,,,
,En lille pige i flade sko,,,,,,,,,
,En sång om frihet,,,Mikis Theodorakis,,,,,,
x,Et barn er født i Betlehem,,,,,,,,,
,Et farvel,Vals,Bb,Anders Sørensen,1821 - 1896,,,,,
,Everybody Loves Somebody Sometime,Slow,C,Irving Taylor,1914 - 1983,,,,,
x,Fabodsalm,,,,,,,,,
x,Farmerliv,Rheinlender,G,Hans Erichsen,1890 - 1973,,,,,
x,Feier fra Vestlandet,,,,,,,,,
x,Finns det en liten gutt,,,,,,,,,
,Finska polkan,Polka,G,,,,,,,
,Fjellbruden,Vals,F,Arthur Hedström,1885 - 1962,,,,,
x,Fjelltrall,,,,,,,,,
,Flora,Tango,Gm/G,Sigurd Westbye,1881 - 1972,,Carl Kaas,,,
,Frøsøminner,Vals,Bb,Asmund Bjørken,1933 - 2018,,,,,
x,Fyrvaktervals,,,,,,,,,
x,Gabriels Oboe,,,,,,,,,
,Gamel rheinlændhar,Rheinlender,F,(Etter Hulda Garborg),,,,1917,,
,Gammel dalavals,Vals,C,Carl Jularbo,1893 - 1966,,,,,
x,Girl from Ipanema,,,,,,,,,
,Godfoten,Mazurka,F,Arthur Frantzen,1917 - 1993,,,,,
,Godnatt,Blues,F,Kristian Hauger,1905 - 1977,,Arild Feldborg,,,
x,Gotthards rheinlender,,,Gotthard Eriksen,1882 - 1964,, ,,,
,Gullebarn,Vals,C,Alf Peaters,1901 - 1951,,,,,
x,Guro-masurka,,,,,,,,,
,Gånglåt fran Mockfjärd,,,,,,,,,
,Gånglåt från Äppelbo,,,,,,,,,
x,Hammarforsens brus,,,,,,,,,
,Hårgalaten,,,,,,,,,
,Hurum-sangen,,,Aslak Tveiten,,,Olava Engh,,,
x,Im in the Mood for Love,,,,,,,,,
x,It's Beginning to Look a Lot Like Christmas,,,,,,,,,
x,I am not the kind of girl,,G,Max Darewski,1883 - 1947,,Arthur Anderson,1873 - 1942,,
,I have but one heart,Slow,C,Johnny Farrow,1912 - 2004,,,,,
x,I rosens doft,Romanse,G,Prins Gustaf,1827 - 1852,,Herman Sätherberg,1812 - 1897,,
,Je veet e liten Gjente,Folkevise,Gm,,,,,,,
x,Je tir' ma reverence,,,Pascal Bastia,1908 - 2007,1945,Pascal Bastia,1908 - 2007,,
x,Kanske engang tilbake du kommer,,,,,,,,,
,Kjære lille Toril,Vise,D,Lille-Bror Söderlundh,1912 - 1957,,Otto Nielsen,1909 - 1982,1945,
,Klonken,Rheinlender,G,Sigurd Westbye,1881 - 1972,,,,,
,Kom lilla flicka,Hambo,C,,,,,,,
,Konvallens avskjed,Vals,D,Otto Lindwall,1876 - 1943,,,,,
,Kristiania vals,Vals,G,Gotthard Eriksen,1882 - 1964,,,,,
x,Kullerullvisan,,,,,,,,,
x,La vi en rose,Vise,G,Louis Guglelmi,1916 - 1991,,,,,
x,La oss ikke si adjø,,,,,,,,,
,Led meg,,,Finn Ludt,1918 - 1992,,,1900 - 1979,Norsk tekst Egil Hagen,
x,Les Feuilles mortes,Vise,Em,Joseph Kosma,1905 - 1969,,Jacques Prévert,,,
x,Lille Ann-Mari,,,,,,,,,
,Lokker'n,Vals,G,Gotthard Erichsen,1882 - 1964,,,,,
,Love has its own refrain,Sakte vals,F,Josephine Baker o.a.,,,,,,
x,Lyckan,,,,,,,,,
,Lycko-Zidens polka,Polka,G,Lycko Ziden,1913 - ?,,,,,
,Lyckobringaren,Vals,G,Trad,,,,,,
x,Maiblommen,,,,,,,,,
,Margaretha-vals,Vals,Am/C,Wille Johnson,,,,,,
,Maria Elana,Vals,D,Lorenzo Barcelara,1898 -1943,,,,,
x,Masurka etter Johannes Breivik,Mazurka,,,,,,,,
x,Med hundra dragspeil og en flicka,,,,,,,,,
x,Midtsommerdansen,Rheinlender,G,Arr: Christian Danning,1867 - 1925,1910,,,,
x,Min lille Skærgaards Pige,Vals,G,Emil Juel-Fredriksen,1873 - 1950,,,,,
x,Min røde gitar,Vals,C,Kurt Foss og Reidar Bøe,,1952,Arne Paasche Aasen,1901 - 1978,,
x,Mona Lisa,Slow,C,Jay Livingstone,1915 - 2001,1950,Ray Evans,1915 - 2007,Mona Lisa,
x,Moon over Bourbon Street,,,,,,,1860 - 1938,,
x,Mor! Er det Mor?,Sang,Ab,Robert Seholt,1898 - 1989,,Rober Harboe,1860 - 1938,1917,
x,Moulin Rouge,,,,,,,,,
x,Muntre toner,,,,,,,,,
,Mustapha-Mazurka,Mazurka,G/C,Per Bolstad,1875 - 1967,,,,,
X,Ninas vals,Vals,,Alfred Haagenrud,,,,,,
x,No can do,Rumba,G,Nat Simon,1900 - 1979,,Chrlie Tobias,1898 - 1970,,
,No livnar det i lundar,Salme,Eb,L. M. Lindemann,1812 - 1887,,,,,
x,Noas Snoa,Snoa,G,,,,,,,
,Non Ho L'eta per marti,,,"Panzeri, Mario",1911 - 1991,,Nicola Salerno,1910 - 1969,,
,Nordfjordvals,Vals,F,Trad,,,,,,
,Norsk bondevals,Vals,D,Carl Mathisen,1870 - ?,,,,,
x,Norsk folketone I,,,,,,,,,
x,Norsk folketone I trekkspill,,,,,,,,,
x,O' Charlie's Health,,,,,,,,,
x,Obladi Oblada,,,,,,,,,
,Odalsvalsen,Vals,C,Freddy Kristoffersen,1944 - 2006,,,,,
x,Om kvelden,,,,,,,,,
x,On the Sunny Side of the street,,,,,,,,,
x,"Per, vil du danse",,,,,,,,,
x,Permissionsvalsen,Vals,F,Georg Kräusel,1882 - 1959,Op 168,,,,
x,Petite Fleur,,Gm,Sidney Bechet,1897 - 1959,,,1755 - 1794,,
x,Plaisir d'amour,,,Jean-Paul-Égide Martini,1741 - 1816,,Jean-Pierre Claris de Florian,,,
,Polkan går,Polka,C,Trad,,,,,,
,Prinsevalsen,Vals,D,Lars Eriksson Brendefur,1782 - 1878,,,,,
x,På den andre siden av gaten,,,,,,,,,
,Romanipiken,Tango,F/Fm,Hilmar Fredriksen,1914 - 1993,,Arne Sveen,1916 - 2005,ca 1949,
,Saekkinjarven Polka,Polka,G,Trad,,,,,,
x,Saint Louis Blues,,,,,,,,,
x,Sang til Roald Amundsen,,,,,,,,,
x,Sangen fra fyret,Vise,,Ingebrigt Olsen Haaland,1878 - 1934,,Anthon B. Nilsen,1855 - 1936,,
x,Sangen om fred,,,Georg Warren,,,Elef Knudsen,,,
x,Sangen om Warszawa,,,Albert Harris (Aaron Hekelman),1911 - 1974,,Juul Hansen,1913 - 1981,1945,3.0
x,Sangen til bygda,,,,,,,,,
x,Santa Lucia,Sang,,Neapolitansk folkesang,,,,,,
x,Say a pray'r for the Boys Over There,Sang,Eb,Jimmy McHugh,1894 - 1969,,,,,
x,September Song,Slow,C,Kurt Weill,1900 - 1950,,,,,
x,Skal vi gå iland på Kavringen,,,,,,,,,
x,Skomvær-valsen,,,Bjarne Amdahl,1903 - 1968,,,,,
x,Sleigh Ride,,,,,,,1927 - 1960,,
,Slightly out of tune,Slow,C,Antonio Carlos Jobim,1927 - 1994,,Newton Mendonça.,,,
,Smoke gets in your eyes,Slow,Eb,Jerome Kern,1885 - 1945,,,,,
x,Sommernatt i Froland,,,,,,,,,
x,Sommernatt,,,,,,,,,
x,Song from Moulin Rouge,,,,,,,,,
x,Sonny Boy,Slow,C,Bud de Sylva,1895 - 1950,,,,,
x,Strø noen roser!,,,,,,,,,
,Sugarbush,Swing,G,Josef Marais,1905 - 1978,,,,,
,Tango for to,Tango,Bb,Bjarne Amdahl,1903 - 1968,,,,,
x,Tar du med ei helsing,,,,,,,,,
,Teddyen min,Swing,C,Åsta Hjelm,1919 - 2003,,,,,
,The fields of Athenry,Vise,D,Pete St. John,,,,,,
,The last rose of summer,Vise,D,Trad,,,,,,
x,The Way You Look Tonight,,,,,,,,,
x,"Tie me Kangaroo down, Sport",Vise,F,Rolf Harris,1930 -,,,,,
,Til Jacob Sande,Vise,Dm,Edvard Filfleit Bræin,1924 - 1976,,,,,
,Titanolåten,Gånglåt,D,Sigmund Dehli,,,,,,
,Trolleboschottis,Schottis,D,Gösta Sundquist,,,,,,
,Trønderbrura,Vals,D,Olav Indahl,1924 - 2004,,,,,
x,Vals i C,,,,,,,,,
x,Vals pikant,,,,,,,,,
,Valse Galante,Vals,F,Arnt Haugen,1928 - 1988,,,,,
,Ved fjorden,Vals,C,Harald Henschien,1902 - 1968,,,,,
x,Ved Tyrifjorden,,,Peder Gulmoen,1911 - 1982,,,,,
x,Vintergatan,Vals,,Jules Sylvain,1900 - 1968,,,,,
x,Vägaen til Dalstuga,Gånglåt,G,Jonas Knutes,,,,,,
,Västgöta-valsen,Vals,,Holger Andersson,1908 - 1975,,,,,
x,Ylva och Bosses brudvals,,,,,,,,,
x,Wiggen,Snoa,G,Rubert Wigg,,,,,,
