Unnamed_1,Unnamed_2,Musescore,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Lyrikk,Lyrikk_link,Levde_når_2,Når_komponert,Sanginfo,Sanginfo_link,Dubletter,Unnamed_12,Unnamed_13,Unnamed_14,Unnamed_15,Unnamed_16,Unnamed_17
,,,,,,,,,,,,,,,,,,,,
,,,Et brev med små violer,,"Nelson, Steve",http://nashvillesongwritersfoundation.com.s164288.gridserver.com/Site/inductee?entry_id=1840,1907 - 1981,Georg Otto (Kurt Leisner),https://da.wikipedia.org/wiki/Otto_Leisner,1917 - 2008,1948,,,4,,,,,,
,,,High Noon,,"Tiomkin, Dimitri",https://en.wikipedia.org/wiki/Dimitri_Tiomkin,1894 - 1979,Ned Washington,https://en.wikipedia.org/wiki/Ned_Washington,1901 - 1976,1952,,,,,,,,,
,,,Bli med i kano'n,https://musescore.com/user/26911315/scores/7001135,"Piraly, Max",,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,1926?,,,,,,,,,
,,,Hvor er min kone,https://musescore.com/user/26911315/scores/7023848,"Vejvoda, Jaromir",https://en.wikipedia.org/wiki/Jaromír_Vejvoda,1902 - 1988,,,,1927,,,,,,,,,
,,,Colorado,https://musescore.com/user/26911315/scores/7188495,Walter Hirsh & Harold A. Dellon,,,R. H. S,,,1924,,,,,,,,,
,,,Ramona,https://musescore.com/user/26911315/scores/7063059,"Wayne, Mable",https://en.wikipedia.org/wiki/Mabel_Wayne,1890 - 1978,Louis Wolfe Gilbert,https://en.wikipedia.org/wiki/L._Wolfe_Gilbert,1886 - 1970,1927,Ramona,https://en.wikipedia.org/wiki/Ramona_(song),2,,,,,,
,,x,On the road to Mandaly,https://musescore.com/user/26911315/scores/6622754,"Speaks, Oley",https://en.wikipedia.org/wiki/Oley_Speaks,1874 - 1948,Rudyard Kipling,,1865 - 1936,1907,,,,,,,,,
,,,Our Waltz,https://musescore.com/user/26911315/scores/7045404,"Rose, David",https://en.wikipedia.org/wiki/David_Rose_(songwriter),1910 - 1990,Nat Burton (Nat Schwartz),https://en.wikiquote.org/wiki/Nat_Burton,1901 - 1945,1942,,,,,,,,,
,,,Madeleine,https://musescore.com/user/26911315/scores/7044996,Sidney Mills & Howard Brown,,,Alfred Kjerulf,https://da.wikipedia.org/wiki/Alfred_Kjerulf,1892 - 1938,1928,,,,,,,,,
,,,Bimbo,https://musescore.com/user/26911315/scores/7001103,Rod Morris,,1919 - 1980,Juul Hansen,https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,1948,Bimbo,https://en.wikipedia.org/wiki/Bimbo_(song),,,,,,,
,,,Romany love,https://musescore.com/user/26911315/scores/7064481,John Stepan Zamecnik,https://en.wikipedia.org/wiki/John_Stepan_Zamecnik,1872 - 1953,Arthur J. Lamb,https://en.wikipedia.org/wiki/Arthur_J._Lamb,1870 - 1928,1922,,,,,,,,,
,,,Lago Maggiore,,Benny De Weille,https://en.wikipedia.org/wiki/Benny_de_Weille,1915 - 1977,Juul Hansen,https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,1951,,,,,,,,,
,,,Davy Crockett,,George Bruns,https://en.wikipedia.org/wiki/George_Bruns,1914 - 1983,Arne Bendiksen,https://no.wikipedia.org/wiki/Arne_Bendiksen,1926 - 2009,1954,Davy Crockett,https://en.wikipedia.org/wiki/The_Ballad_of_Davy_Crockett,,,,,,,
Ingen tekst,,,Drunt in der Lobau,https://musescore.com/user/26911315/scores/7012055,Heinrich Strecker,https://en.wikipedia.org/wiki/Heinrich_Strecker,1893 - 1981,Beda & Eckhardt ,,,1928,,,,,,,,,
,,,I Rio de Janeiro,,Alfredo Zmigrod,,1905 - ?,Alfredo Zmigrod,,1905 - ?,1949,,,,,,,,,
,,,Om flickor vore blommor,,Pascal Bastia,https://en.wikipedia.org/wiki/Pascal_Bastia,1908 - 2007,Pascal Bastia,https://en.wikipedia.org/wiki/Pascal_Bastia,1908 - 2007,1938? / 1945,,,,,,,,,
,,,"Que Sera, Sera",https://musescore.com/user/26911315/scores/7063054,Jay Livingston,https://en.wikipedia.org/wiki/Jay_Livingston,1915 - 2001,Ray Evans,https://en.wikipedia.org/wiki/Ray_Evans,1915 - 2007,1955,"Que Sera, Sera","https://en.wikipedia.org/wiki/Que_Sera,_Sera_(Whatever_Will_Be,_Will_Be)",2,,,,,,
,,,Valse Decembre,https://musescore.com/user/26911315/scores/7097617,Walter Rolfe,https://nl.wikipedia.org/wiki/Walter_Rolfe,1880 - 1944,,,,1914,,,,,,,,,
,,,Harry Lime's Melodi,https://musescore.com/user/26911315/scores/25739602,"Karas, Anton",https://en.wikipedia.org/wiki/Anton_Karas,1906 - 1985,,,,1949,"Fra filmen ""Den tredje mann""",https://en.wikipedia.org/wiki/The_Third_Man,,,,,,,
,,,Do'nt sit under the apple-tree,,,,,,,,,,,,,,,,,
,,,Get me to the Church on time,,,,,,,,,,,,,,,,,
,,,On the Sunny side of the street,,,,,,,,,,,,,,,,,
,,,My heart is a Hobo,,,,,,,,,,,,,,,,,
,,,Its Been a Long Long Time ,,,,,,,,,,,,,,,,,
,,,Lady be good,,,,,,,,,,,,,,,,,
,,,"Long, Long ago",,,,,,,,,,,,,,,,,
,,,Love has its own refrain,,,,,,,,,,,,,,,,,
,,,"Love, Look Away",,,,,,,,,,,,,,,,,
,,,Sonny Boy,,,,,,,,,,,,,,,,,
,,,That's My Desire,,,,,,,,,,,,,,,,,
,,,The last rose of summer,,,,,,,,,,,,,,,,,
,,,Slightly out of tune,,,,,,,,,,,,,,,,,
,,,Whitecaps,,,,,,,,,,,,,,,,,
,,,Maria Elena,,,,,,,,,,,,,,,,,
,,,Valencia,,,,,,,,,,,,,,,,,
,,,Elizabethan Serenade orkester,,,,,,,,,,,,,,,,,
,,,The Rock And Roll Waltz,,"Allen, Shorty",,,Dick Ware,,,,,,,,,,,,
,,,Kjærlighetens serenade,https://musescore.com/user/26911315/scores/12370354,"""Glück""",,,"""Teddy""",,,1939,Presto forlag 1943,,,,,,,,
,,,Too young,,Sid Lippman,https://en.wikipedia.org/wiki/Sidney_Lippman,1914 - 2003,Sylvia Dee,https://en.wikipedia.org/wiki/Sylvia_Dee,1914 - 1967,1951,Too young,https://en.wikipedia.org/wiki/Too_Young_(Sidney_Lippman_and_Sylvia_Dee_song),,,,,,,
,,,Picador,,Horation Nicholls,https://en.wikipedia.org/wiki/Lawrence_Wright_(composer),1888 - 1964,,,,1926,,,,,,,,,
,,,Lambeth Walk,,Noel Gay                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,https://en.wikipedia.org/wiki/Noel_Gay,1898 - 1954,Douglas Furber,https://en.wikipedia.org/wiki/Douglas_Furber,1885 - 1961,1937,Lambeth Walk,https://en.wikipedia.org/wiki/The_Lambeth_Walk,,,,,,,
,,,La Cumparsita,,Gerardo Matos Rodriguez,https://en.wikipedia.org/wiki/Gerardo_Matos_Rodríguez,1897 - 1948,,,,,La cumparsita,https://en.wikipedia.org/wiki/La_cumparsita,,,,,,,
,,,Good night Irene,https://musescore.com/user/26911315/scores/7702184,John Lomax,,1867 - 1948,Huddie Ledbetter,https://en.wikipedia.org/wiki/Lead_Belly,1888 - 1949,,"Goodnight, Irene","https://en.wikipedia.org/wiki/Goodnight,_Irene",,,,,,,
,,,Moulin Rouge,,George Auric,https://en.wikipedia.org/wiki/Georges_Auric,1899 - 1983,William Engvick,https://en.wikipedia.org/wiki/William_Engvick,1914 - 2012,,Moulin Rouge,https://en.wikipedia.org/wiki/Moulin_Rouge_(1952_film),,,,,,,
,,,Sugar Bush,,Fred Michel,,1898 - 1967,Josef Marais,,1905 - 1978,,Sugar Bush,https://en.wikipedia.org/wiki/Sugar_Bush_(song),,,,,,,
,,,"Hi - Lili, Hi - Lo",https://musescore.com/user/26911315/scores/7017555/s/_9BNqe,Bronislau Kaper,https://en.wikipedia.org/wiki/Bronisław_Kaper,1902  1983,Helen Deutsch,https://en.wikipedia.org/wiki/Helen_Deutsch,1906 - 1992,1952,"Hi-Lili, Hi-Lo","https://no.wikipedia.org/wiki/Hi-Lili,_Hi-Lo",,,,,,,
,,,Peg O' my heart,https://musescore.com/user/26911315/scores/7045422,Fred Fisher,https://en.wikipedia.org/wiki/Fred_Fisher,1875 - 1942,Alfred Bryan,https://en.wikipedia.org/wiki/Alfred_Bryan,1871 - 1958,1913,Peg O' my heart,https://en.wikipedia.org/wiki/Peg_o%27_My_Heart,,,,,,,
,,,Sous le Ciel de Paris,,Hubert Giraud,https://en.wikipedia.org/wiki/Hubert_Giraud_(composer),1920 - 2016,Jean Dréjac,https://en.wikipedia.org/wiki/Jean_Dréjac,1921 - 2003,1951,Sous le ciel de Paris,https://en.wikipedia.org/wiki/Sous_le_ciel_de_Paris_(song),,,,,,,
,,,La Vie en rose,https://musescore.com/user/26911315/scores/7705052,Louis Guglielmi,https://en.wikipedia.org/wiki/Louiguy,1916 - 1991,Edith Piaf,https://en.wikipedia.org/wiki/Édith_Piaf,1915 - 1963,1946,La Vie en rose,https://en.wikipedia.org/wiki/La_Vie_en_rose,,,,,,,
,,,Fate,,Byron Gay,https://en.wikipedia.org/wiki/Byron_Gay,1886 - 1945,Byron Gay,https://en.wikipedia.org/wiki/Byron_Gay,1886 - 1945,1922,,,,,,,,,
,,,My dreams are getting better all the time,,Victor Mizzy,https://en.wikipedia.org/wiki/Vic_Mizzy,1916 - 2009,Manny Curtis,https://en.wikipedia.org/wiki/Manny_Curtis,1911 - 1984,1944,My Dreams Are Getting Better All the Time,https://en.wikipedia.org/wiki/My_Dreams_Are_Getting_Better_All_the_Time,,,,,,,
,,,Domino,,Louis Ferrari,https://en.wikipedia.org/wiki/Louis_Ferrari,1910 - 1987,Jacques Plante,,1920 - 2003,1950,Domino,https://en.wikipedia.org/wiki/Domino_(1950_song),,,,,,,
,,,Min lille Mary-Ann,https://musescore.com/user/26911315/scores/7298549,Wilhelm Grosz,https://en.wikipedia.org/wiki/Wilhelm_Grosz,1894 - 1939,Olav Rosenlind,,1908 - ?,1936,,,,,,,,,
,,,Wa-tah-wall,https://musescore.com/user/26911315/scores/7582145,Alberto Piantadosi,https://en.wikipedia.org/wiki/Al_Piantadosi,1882 - 1955,S. S. Wilson (Anita Halldén),https://sv.wikipedia.org/wiki/Anita_Halldén,1878 - 1970,1915,,,,,,,,,
,,,Varför jag kysste dig?,https://musescore.com/user/26911315/scores/8287826,"King, Robert
Henderson, Roy",,"1860 - 1932
1896 - 1970",S. S. Wilson (Anita Halldén),https://sv.wikipedia.org/wiki/Anita_Halldén,1878 - 1970,1924,Why did I kiss that girl?,,,,Ernst Rolf,334,,,
,,,"Dear love, my love",https://musescore.com/user/26911315/scores/8437424,"Friml, Rudolf",https://en.wikipedia.org/wiki/Rudolf_Friml,1879 - 1972,"Hooker, Brian",https://en.wikipedia.org/wiki/Brian_Hooker_(poet),1880 - 1946,1920,,,,,,,,,
,,,Rikke ved skrivemaskinen,https://musescore.com/user/26911315/scores/8444177,"Krier, Georges",https://fr.wikipedia.org/wiki/Georges_Krier,1872 - 1936,Henrik Harpestreng,,1863 - 1935,1909,Pseudnym for Henrik A. Dedichen,,,,,,,,
,,,Intermezzo,https://musescore.com/user/26911315/scores/5876507,"Provost, Heinz",https://sv.wikipedia.org/wiki/Heinz_Provost,1891 - 1959,,,,1935,,,,,,,,,
,,,Mari La O,https://musescore.com/user/26911315/scores/9052172,"Lecuona, Ernesto",https://en.wikipedia.org/wiki/Ernesto_Lecuona,1896 - 1963,Bjørn,,,1931,,,,,,,,,
,,,I Left My Heart In San Francisco,,"Cory, Georg (jnr.)",,,,,,,,,,,,,,,
,,,Zambesi,https://musescore.com/user/26911315/scores/12395554,"Carstens, Nico
De Waal, Anton",,"1926 - 2016
1907 - 1974","Rogers, Dick",https://en.wikipedia.org/wiki/Dick_Rogers,1912 - 1970,1954,,,,,,,,,
,,,Himlens klare stjerner,https://musescore.com/user/26911315/scores/12406996,"Bochmann, Werner",https://en.wikipedia.org/wiki/Werner_Bochmann,1900 - 1993,"Boy, Bjørn",,,1942,Publisert i Norge 1944,,,,Carl M. Iversen,192,,,
,,,Love has its own refrain,https://musescore.com/user/26911315/scores/12427156,"Josephine Baker
Jo Bouillon
Charles Wildman",,,Nile,,,1946,,,,,,,,,
5,,x,Jazzin' the Cotton Town Blues,https://musescore.com/user/26911315/scores/19464727,"Olsen, Harry B.",,1878 - ?,"Lewis,  Roger",,1885 - 1948,1917,,,,,IMSLP,,,,
4,,x,Julio,https://musescore.com/user/26911315/scores/19546069,"Olsen, Harry B.",,1878 - ?,"Luz, Ernst",https://www.imdb.com/name/nm0527742/,1878 - 1937,1921,The four Horsemen of the acopalypse,https://en.wikipedia.org/wiki/The_Four_Horsemen_of_the_Apocalypse_(1921_film),,,IMSLP,,,,
3,,x,Oh! Min!,https://musescore.com/user/26911315/scores/19947949,"Johnes, Isham",https://en.wikipedia.org/wiki/Isham_Jones,1894 - 1956,"Olsen, Ole (John Sigvart)",https://en.wikipedia.org/wiki/Ole_Olsen_(comedian),1892 - 1963,1918,,,,,,,,,
2,,x,That's Jaz,https://musescore.com/user/26911315/scores/20265115,"Johnes, Isham",https://en.wikipedia.org/wiki/Isham_Jones,1894 - 1956,"Olsen, Ole (John Sigvart)",https://en.wikipedia.org/wiki/Ole_Olsen_(comedian),1892 - 1963,1917,,,,,,,,,
3,,x,Norway,https://musescore.com/user/26911315/scores/20376619,"Fisher, Fred",https://en.wikipedia.org/wiki/Fred_Fisher,1875 - 1942,"McCarthy, Joseph",https://en.wikipedia.org/wiki/Joseph_McCarthy_(lyricist),1885 - 1943,1915,,,,,Einar Økland/IMSLP,,,,
3,,x,In Norway ,https://musescore.com/user/26911315/scores/20398255,"Morse, Theodore",https://en.wikipedia.org/wiki/Theodore_Morse,1873 - 1924,,,,1907,,,,,Einar Økland,,,,
,,,Central Skating Park Polka,,"Wamelink, Joannes Th.",,1827 - 1900,,,,1865,,,,,Net ,,,,
,,x,Yes Sir! Til Tennesse,https://musescore.com/user/26911315/scores/22220275,"Abner Silver 
Harry Woods ",,"1899 -1966
1900 - 1955",,,,1923,,,,,Ernst Rolf,360,,,
,,,Cilleros,,"Casadelle, Damasco",,,,,,1926,,,,,Musikcentralens Forlag,152,,,
,,x,Lille Peter Edderkop,https://musescore.com/user/26911315/scores/22809043,"O'Brien, Spike",,,,,,1948,,,,,Wilhelm Hansen,26588,,,
,,x,Picador,https://musescore.com/user/26911315/scores/23727766/,"Nichols, Horatio",https://en.wikipedia.org/wiki/Lawrence_Wright_(composer),1888 - 1964,,,,1926,Pseudonym for Lawrence Wright,,,,,,,,
4,,x,Lord Palmerstone,https://musescore.com/user/26911315/scores/23734489,"Syv, Per",,,,,,1922,Reklame for sigaretter,,,,,,,,
,,unlisted!,Sailing Home,https://musescore.com/user/26911315/scores/25647298,"Burnett, Ernie",,1884 - 1959,"Collins Jr, Treve",,1892 - 1939,1917,,,,,,,,,
